URL,Title,Author,Average Rating
https://www.goodreads.com/book/show/53351017-liar?from_search=true&from_srp=true&qid=tfMbKUCD8N&rank=1,Liar,Tate James,4.35
https://www.goodreads.com/book/show/50208350-the-happy-ever-after-playlist?from_search=true&from_srp=true&qid=iaX6VqprlK&rank=1,The Happy Ever After Playlist,Abby Jimenez,4.18
https://www.goodreads.com/book/show/50748999-the-other-mrs?from_search=true&from_srp=true&qid=ytqzNjgXHD&rank=1,The Other Mrs.,Mary Kubica,3.75
https://www.goodreads.com/book/show/53025903-the-book-of-lost-friends?from_search=true&from_srp=true&qid=DhscH1ScgL&rank=1,The Book of Lost Friends,Lisa Wingate,4.15
https://www.goodreads.com/book/show/52760782-bront-s-mistress?from_search=true&from_srp=true&qid=sgVdMKacyX&rank=1,Brontë’s Mistress,Finola Austin,3.60
https://www.goodreads.com/book/show/9969571-ready-player-one?from_search=true&from_srp=true&qid=iUMxOF9vAk&rank=1,Ready Player One,Ernest Cline,4.23
https://www.goodreads.com/book/show/52652923-the-last-flight?from_search=true&from_srp=true&qid=AwRYv9HP2K&rank=1,The Last Flight,Julie Clark,4.10
https://www.goodreads.com/book/show/80092227-complicated-moonlight?from_search=true&from_srp=true&qid=QgsBvQpfIa&rank=1,Complicated Moonlight,Lynessa Layne,4.36
https://www.goodreads.com/book/show/54775299-the-present?from_search=true&from_srp=true&qid=rrYSNScNdC&rank=1,The Present,Kenneth Thomas,3.65
https://www.goodreads.com/book/show/48595550-the-death-of-vivek-oji?from_search=true&from_srp=true&qid=3bETdXWZQn&rank=1,The Death of Vivek Oji,Akwaeke Emezi,4.13
https://www.goodreads.com/book/show/53369734-weather-girl?from_search=true&from_srp=true&qid=smDOvG4RZh&rank=1,Not Found,Not Found,Not Found
https://www.goodreads.com/book/show/45046683-little-secrets?from_search=true&from_srp=true&qid=fYScBgSCOG&rank=1,Little Secrets,Jennifer Hillier,4.22
https://www.goodreads.com/book/show/45993380-be-my-brayshaw?from_search=true&from_srp=true&qid=wIWyfDabjy&rank=1,Be My Brayshaw,Meagan Brandy,4.30
https://www.goodreads.com/book/show/51086670-the-honey-don-t-list?from_search=true&from_srp=true&qid=CTRzQ0CqO9&rank=1,The Honey-Don't List,Christina Lauren,3.50
https://www.goodreads.com/book/show/53450218-the-past?from_search=true&from_srp=true&qid=AkaELsTpej&rank=1,The Past,Kenneth Thomas,3.93
